Country,Good,Child_Labor,Forced_Labor,Forced_Child_Labor
Afghanistan,Bricks,X,X,X
Afghanistan,Carpets,X,,
Afghanistan,Coal,X,,
Afghanistan,Poppies,X,,
Afghanistan,Salt,X,,
Angola,Diamonds,X,X,
Argentina,Bricks,X,,
Argentina,Cotton,X,,
Argentina,Garlic,X,,
Argentina,Garments,X,X,X
Argentina,Grapes,X,,
Argentina,Olives,X,,
Argentina,Strawberries,X,,
Argentina,Tobacco,X,,
Argentina,Tomatoes,X,,
Argentina,Yerba Mate (stimulant plant),X,,
Azerbaijan,Cotton,X,,
Bangladesh,Bidis (hand-rolled cigarettes),X,,
Bangladesh,Bricks,X,,
Bangladesh,Dried Fish,X,X,X
Bangladesh,Footwear,X,,
Bangladesh,Furniture (steel),X,,
Bangladesh,Garments,X,X,
Bangladesh,Glass,X,,
Bangladesh,Jute (textiles),X,,
Bangladesh,Leather,X,,
Bangladesh,Matches,X,,
Bangladesh,Poultry,X,,
Bangladesh,Salt,X,,
Bangladesh,Shrimp,X,,
Bangladesh,Soap,X,,
Bangladesh,Textiles,X,,
Belarus,Furniture,,X,
Belarus,Lumber,,X,
Belize,Bananas,X,,
Belize,Citrus Fruits,X,,
Belize,Sugarcane,X,,
Benin,Cotton,X,X,X
Benin,Granite (crushed),X,,
Bolivia,Brazil Nuts/Chestnuts,X,X,X
Bolivia,Bricks,X,,
Bolivia,Cattle,X,X,
Bolivia,Coca (stimulant plant),X,,
Bolivia,Corn,X,X,
Bolivia,Gold,X,,
Bolivia,Lead,X,,
Bolivia,Peanuts,,X,
Bolivia,Silver,X,,
Bolivia,Sugarcane,X,X,X
Bolivia,Tin,X,,
Bolivia,Zinc,X,,
Brazil,Açaí Berries,X,,
Brazil,Bananas,X,,
Brazil,Beef,X,,
Brazil,Bricks,X,,
Brazil,Cashews,X,,
Brazil,Cattle,X,X,
Brazil,Ceramics,X,,
Brazil,Charcoal,X,X,
Brazil,Cocoa,X,,
Brazil,Coffee,X,X,
Brazil,Corn,X,,
Brazil,Cotton,X,,
Brazil,Fish,X,,
Brazil,Footwear,X,,
Brazil,Garments,,X,
Brazil,Hogs,X,,
Brazil,Manioc/Cassava,X,,
Brazil,Pineapples,X,,
Brazil,Poultry,X,,
Brazil,Rice,X,,
Brazil,Sheep,X,,
Brazil,Sisal,X,,
Brazil,Sugarcane,X,X,
Brazil,Timber,,X,
Brazil,Tobacco,X,,
Burkina Faso,Cotton,X,X,X
Burkina Faso,Gold,X,X,X
Burkina Faso,Granite,X,,
Burma,Bamboo,X,X,X
Burma,"Beans (green, soy, yellow)",X,X,X
Burma,Bricks,X,X,X
Burma,Fish,,X,
Burma,Garments,X,X,
Burma,Jade,X,X,
Burma,Palm Thatch,,X,
Burma,Rice,X,X,X
