Good,HTS_code_US
Açaí Berries,0811.90.8095
Açaí Berries,0812.90.9000
Açaí Berries,0813.40.2060
Alcoholic Beverages,2203
Alcoholic Beverages,2204
Alcoholic Beverages,2205
Alcoholic Beverages,2206
Alcoholic Beverages,2207.10.3000
Alcoholic Beverages,2208
Aluminum,7601
Aluminum,7603
Aluminum,7604
Aluminum,7605
Aluminum,7606
Amber,9602
Animal Feed,2309.90.1020
Animal Feed,2309.90.1030
Animal Feed,2309.90.1032
Animal Feed,2309.90.1035
Animal Feed,2309.90.1045
Animal Feed,2309.90.1050
Artificial Flowers,6702
Auto Parts and Components (aluminum),8407.32
Auto Parts and Components (aluminum),8407.33
Auto Parts and Components (aluminum),8407.34
Auto Parts and Components (aluminum),8409.91
Auto Parts and Components (aluminum),8708.29
Auto Parts and Components (aluminum),8708.91
Auto Parts and Components (aluminum),8708.94
Auto Parts and Components (aluminum),9401.99
Auto Parts and Components (aluminum),8408.20
Auto Parts and Components (aluminum),8409
Auto Parts and Components (aluminum),8708.30
Auto Parts and Components (aluminum),8708.40
Auto Parts and Components (aluminum),8708.50
Auto Parts and Components (aluminum),8708.70
Auto Parts and Components (aluminum),8708.80
Auto Parts and Components (aluminum),9401.20
Auto Parts and Components (aluminum),9401.90
Bagasse,2303.20.0040
Baked Goods,1905
Bamboo,4402.10
Bamboo,4409.21
Bamboo,4412.10
Bamboo,4418.73
Bamboo,4418.91
Bamboo,4706.30.0000
Bamboo,4823.61
Bananas,0803.90
Beans,0708.20
Beans,0710.22.1000
Beans,0710.22.1500
Beans,0710.22.2000
Beans,0710.22.3700
Beans,0710.22.4090
Beans (green beans),0708.20.9010
Beans (green beans),0710.22.2500
Beans (green beans),0710.22.4010
"Beans (green, soy, yellow)",0708.20.9010
"Beans (green, soy, yellow)",0710.22.2500
"Beans (green, soy, yellow)",0710.22.4010
"Beans (green, soy, yellow)",1201
Beef,0201
Beef,0202
Beef,0210.20.0000
Bidis (hand-rolled cigarettes),2402.20.8000
Biofuel (palm),3826.00.1000
Biofuel (palm),3826.00.3000
Blueberries,0810.40.0024
Blueberries,0810.40.0026
Blueberries,0810.40.0029
Bovines,0102
Brassware,7418.10.0002
Brassware,7418.10.0021
Brassware,7418.10.0023
Brassware,7418.10.0025
Brassware,7418.20.1000
Brassware,9405.10.40
Brazil Nuts/Chestnuts,0801.21.0000
Brazil Nuts/Chestnuts,0801.22.0000
Brazil Nuts/Chestnuts,0802.41.0000
Brazil Nuts/Chestnuts,0802.42.0000
Bricks,6810.11
Bricks,6901
Bricks,6902.10
Bricks,6902.20.10
Bricks,6902.90.10
Bricks,6904
Bricks (clay),6902.90.1010
Broccoli,0704.10
Broccoli,0704.90.4020
Broccoli,0710.80.9722
Broccoli,0710.80.9724
Broccoli,0710.80.9726
Cabbages,0704.90.2000
Carpets,5701
Carpets,5702
Carpets,5703
Carpets,5704
Carpets,5705
Carrots,0706.10.0500
Carrots,0706.10.1000
Carrots,0706.10.2000
Carrots,0710.80.7040
Carrots,0712.90.1000
Cashews,0801.31.0000
Cashews,0801.32.0000
Cattle,0102.21
Cattle,0102.29
Caustic Soda,2815.11
Caustic Soda,2815.12
Cement,2523
Cement,3909.50.2000
Cement,6810
Cement,6811
Ceramics,69
Cereal Grains,1001
Cereal Grains,1002
Cereal Grains,1003
Cereal Grains,1004
Cereal Grains,1005
Cereal Grains,1007
Cereal Grains,1008
Charcoal,4402
Chile Peppers,0709.60.20
Chocolate,1806.31
Chocolate,1806.32
Chocolate,1806.20
Chocolate,1806.90
Christmas Decorations,8539.22.4000
Christmas Decorations,9405.30
Christmas Decorations,9505.10
Cigarettes,2402.20
Cigarettes,2402.10
Citrus Fruits,0805
Cloves,0907
Coal,2701
Cobalt ore (heterogenite),2605.00.0000
Coca (stimulant plant),1211.30.0000
Cocoa,1801.00.0000
Cocoa,1802.00.0000
Cocoa Butter,1804.00
Cocoa Paste,1803.10
Cocoa Paste,1803.20
Cocoa Powder,1805.00
Cocoa Powder,1806.10
Coconut Oil,1513.11
Coconut Oil,1513.19
Coconuts,0801.11.0000
Coconuts,0801.12.0000
Coconuts,0801.19.01
Coffee,0901
Cooking Oil (palm),1513.21
Cooking Oil (palm),1513.29
Cooking Oil (palm),1511.10
Cooking Oil (palm),1511.90
Copper Ore,2603
Copper Products,7403
Copper Products,7404
Copper Products,7405
Copper Products,7406
Copper Products,7407
Copper Products,7408
Copper Products,7409
Copper Products,7410
Copper Products,7401.00.0000
Copper Products,7402.00.0000
Copra Meal,2306.50
Corn,0709.99.4500
Corn,0710.40.0000
Corn,1005.10
Corn,1005.90.2015
Corn,1005.90.2025
Corn,1005.90.4060
Cotton,5201
Cottonseed (hybrid),1207.21.0000
