importer_iso3,exporter_iso3,good,hs_code,value_usd,weight_metric_tons
EEA,CHN,Electronics,85,"194,951,019,393","10,477,591"
EEA,CHN,Garments,61,"18,991,840,411","867,992"
EEA,CHN,Garments,62,"18,317,628,213","650,342"
EEA,BGD,Garments,61,"17,464,913,966","1,042,806"
EEA,CHN,Footwear,64,"12,933,143,256","752,538"
EEA,MYS,Electronics,85,"12,451,661,410","139,956"
EEA,BGD,Garments,62,"12,324,007,747","585,859"
EEA,CHN,Toys,9503,"7,902,180,314","736,736"
EEA,BFA,Gold,7108,"6,272,636,344",91
EEA,CHN,Toys,9504,"4,501,714,169","157,988"
EEA,VNM,Garments,62,"4,298,576,525","103,686"
EEA,IND,Garments,62,"3,230,049,711","76,716"
EEA,VNM,Garments,61,"3,218,554,814","99,697"
EEA,IND,Garments,61,"2,986,957,819","116,009"
EEA,CIV,Cocoa,180100,"2,970,388,346","676,882"
EEA,PER,Gold,7108,"2,685,839,785","4,540"
EEA,MMR,Garments,62,"1,881,879,179","92,859"
EEA,NGA,Cocoa,180100,"1,203,955,886","208,498"
EEA,MMR,Garments,61,"1,028,342,332","65,051"
EEA,CHN,Christmas Decorations,950510,"981,349,419","124,424"
EEA,CHN,Artificial Flowers,6702,"909,687,585","100,200"
EEA,CHN,Thread/Yarn,5402,"678,376,094","323,466"
EEA,CHN,Aluminum,7606,"572,933,769","168,112"
EEA,AGO,Diamonds,7102,"558,454,983",2
EEA,CHN,Toys,950590,"455,447,741","51,319"
EEA,THA,Garments,61,"414,019,214","8,626"
EEA,CHN,Fireworks,360410,"352,258,212","105,468"
EEA,MMR,Rice,1006,"345,146,515","630,250"
EEA,IND,Thread/Yarn,5205,"296,742,452","69,977"
EEA,MYS,Rubber Gloves,401519,"289,379,471","40,927"
EEA,IND,Rice,1006,"288,731,458","250,264"
EEA,MWI,Tobacco,2401,"274,389,073","53,376"
EEA,CHN,Metallurgical Grade Silicon,280469,"231,206,348","85,661"
EEA,IND,Carpets,5702,"227,780,744","29,402"
EEA,CHN,Aluminum,7604,"224,113,598","45,455"
EEA,CHN,Tomato Products,200290,"222,334,405","176,350"
EEA,CIV,Cocoa,180200,"219,204,860","73,240"
EEA,IDN,Nickel,7501,"217,675,924","21,610"
EEA,THA,Garments,62,"175,818,768","3,276"
EEA,CHN,Nails,7317,"170,228,927","90,585"
EEA,BLR,Furniture,94,"155,188,519","84,775"
EEA,CHN,Hair Products,670420,"141,296,590",485
EEA,IND,Carpets,5703,"137,774,802","26,409"
EEA,MYS,Garments,61,"134,211,142","6,875"
EEA,CHN,Gloves,420329,"125,462,414","5,089"
EEA,BFA,Cotton,5201,"123,021,901","65,742"
EEA,CHN,Coal,2701,"119,182,347","356,431"
EEA,IDN,Nickel,720260,"118,070,809","112,787"
EEA,IND,Thread/Yarn,5402,"112,947,074","50,648"
EEA,CHN,Tomato Products,210390,"97,308,691","30,431"
EEA,IND,Carpets,5705,"86,720,515","18,543"
EEA,CHN,Bricks,690210,"66,181,939","56,515"
EEA,CHN,Tomato Products,120991,"62,808,595","1,304"
EEA,CHN,Bricks,690220,"61,901,392","38,713"
EEA,BRA,Timber,4403,"54,250,263","576,556"
EEA,CHN,Thread/Yarn,5205,"53,490,759","6,267"
EEA,CHN,Thread/Yarn,5401,"52,730,338","4,715"
EEA,IND,Tea,210690,"50,433,115","7,682"
EEA,IND,Thread/Yarn,5509,"48,328,065","16,074"
EEA,MUS,Garments,61,"48,155,971","1,078"
EEA,CHN,Nails,761610,"48,085,937","2,971"
EEA,MUS,Garments,62,"47,854,104","1,274"
EEA,IND,Carpets,5701,"47,460,106","2,724"
EEA,IDN,Nickel,7502,"42,591,420","2,119"
EEA,IND,Bricks,690220,"40,961,051","10,434"
EEA,MMR,Rubies,710391,"39,612,872",0
EEA,CHN,Thread/Yarn,5509,"38,529,776","10,324"
EEA,CHN,Aluminum,7601,"33,992,519","13,516"
EEA,CHN,Thread/Yarn,5511,"32,115,017","3,654"
EEA,SLE,Diamonds,7102,"28,127,387",0
EEA,CHN,Thread/Yarn,5403,"26,285,980","4,859"
EEA,CHN,Thread/Yarn,5508,"25,950,938","5,218"
EEA,MYS,Garments,62,"22,110,596",546
EEA,CHN,Bricks,690290,"19,429,874","7,766"
EEA,CHN,Thread/Yarn,5406,"19,415,104","2,178"
EEA,IND,Thread/Yarn,5510,"19,412,727","5,311"
EEA,CHN,Aluminum,7605,"19,186,146","4,403"
EEA,NPL,Carpets,5701,"17,901,058",284
EEA,IND,Sandstone,251620,"17,816,732","108,100"
EEA,CHN,Thread/Yarn,5510,"17,594,017","4,510"
EEA,CHN,Gloves,611691,"16,527,084",240
EEA,CHN,Hair Products,670300,"16,143,398",71
EEA,CHN,Thread/Yarn,5207,"15,347,547","1,832"
EEA,IND,Tea,210120,"14,521,639","2,629"
EEA,CHN,Christmas Decorations,853922,"14,233,660","1,009"
EEA,IND,Thread/Yarn,5403,"12,359,938","1,881"
EEA,PAK,Carpets,5702,"11,834,991","1,379"
EEA,PAK,Cotton,5201,"11,596,093","4,723"
EEA,BLR,Lumber,4703,"11,458,407","18,087"
EEA,PAK,Carpets,5701,"11,315,805",413
EEA,CHN,Caustic Soda,281512,"10,561,422","41,435"
EEA,IND,Thread/Yarn,5206,"10,456,319","3,402"
EEA,CHN,Aluminum,7603,"9,837,312","2,021"
EEA,BRA,Garments,61,"9,492,100",184
EEA,BRA,Garments,62,"9,468,346",128
EEA,IND,Thread/Yarn,5207,"9,213,894",809
EEA,CHN,Squid,160554,"8,149,637",857
EEA,CHN,Polysilicon,280461,"8,096,880","1,393"
EEA,CHN,Thread/Yarn,5206,"7,804,226","4,254"
EEA,IND,Embellished Textiles,540792,"7,075,990",639
EEA,KAZ,Cotton,5201,"5,311,179","3,742"
EEA,IND,Rice,100890,"5,084,686","2,810"
EEA,CHN,Thread/Yarn,5204,"4,478,723",462
EEA,IND,Bricks,690210,"4,465,987","3,455"
EEA,IND,Thread/Yarn,5511,"4,426,845",591
EEA,CHN,Polyvinyl Chloride,390410,"4,183,809","5,000"
EEA,IND,Bricks,690290,"4,135,220","2,876"
EEA,CHN,Caustic Soda,281511,"3,908,048","5,651"
EEA,IND,Thread/Yarn,5401,"3,904,377",415
EEA,CHN,Tomato Products,210320,"3,782,621","2,426"
EEA,IND,Thread/Yarn,5204,"3,243,557",291
EEA,CHN,Bricks,6904,"3,180,627","3,714"
EEA,CHN,Polyvinyl Chloride,390422,"2,413,162",985
EEA,CHN,Bricks,681011,"2,391,247","4,069"
EEA,PAK,Carpets,5705,"2,335,820",660
EEA,BEN,Cotton,5201,"2,143,277","1,087"
EEA,CHN,Nails,741510,"1,587,359",295
EEA,ARG,Garments,62,"1,529,674",38
EEA,MMR,Jade,710399,"1,205,079",3
EEA,NPL,Carpets,5702,"950,285",16
EEA,IND,Carpets,5704,"911,550",262
EEA,ARG,Garments,61,"889,473",22
EEA,TKM,Cotton,5201,"833,863",843
EEA,CHN,Bricks,6901,"786,640",397
EEA,ETH,Textiles (hand-woven),5209,"682,579",195
EEA,IDN,Nickel,260400,"668,820",164
EEA,IND,Thread/Yarn,5406,"620,171",194
EEA,PAK,Carpets,5703,"561,157",77
EEA,CHN,Cotton,5201,"534,481",63
EEA,NPL,Carpets,5703,"529,770",12
EEA,COD,Gold,7108,"491,019",278
EEA,CHN,Polyvinyl Chloride,390421,"481,444",210
EEA,IND,Thread/Yarn,5508,"462,585",63
EEA,BOL,Corn,100590,"429,604",246
EEA,IND,Bricks,6901,"395,974",867
EEA,IDN,Palm Fruit,120710,"242,881",1
EEA,NPL,Carpets,5704,"239,831",14
EEA,IND,Bricks,681011,"233,593",212
EEA,BLR,Lumber,4412,"216,566",171
EEA,NGA,Cocoa,180200,"207,590",282
EEA,BOL,Peanuts,1202,"135,137",76
EEA,NPL,Carpets,5705,"130,618",6
EEA,IND,Embellished Textiles,580900,"128,081",4
EEA,MMR,Teak,440729,"116,588",20
EEA,MMR,Bricks,690220,"87,455",81
EEA,IND,Bricks,6904,"81,156",236
EEA,PER,Timber,4403,"77,688",66
EEA,IND,Embellished Textiles,540791,"75,883",20
EEA,TJK,Cotton,5201,"56,169",21
EEA,BRA,Charcoal,4402,"48,602",59
EEA,PAK,Bricks,690220,"36,909",74
EEA,MMR,Rubber,4001,"35,537",21
EEA,BLR,Lumber,4707,"31,880",120
EEA,BRA,Sugarcane,121293,"30,999",5
EEA,PAK,Bricks,690210,"28,574",144
EEA,IND,Sugarcane,121293,"27,669",18
EEA,RUS,Timber,4403,"25,729",5
EEA,PAK,Sugarcane,121293,"21,767",7
EEA,RUS,Bricks,6901,"16,756",19
EEA,CHN,Tomato Products,200950,"15,380",19
EEA,CHN,Polyvinyl Chloride,391530,"15,050",5
EEA,BLR,Lumber,4407,"8,558",16
EEA,IDN,Nickel,750300,"7,614",1
EEA,DOM,Sugarcane,121293,"6,581",2
EEA,BLR,Lumber,4409,"4,212",6
EEA,MLI,Rice,100890,"4,105",4
EEA,MMR,"Beans (green, soy, yellow)",1201,"3,955",4
EEA,AFG,Bricks,690220,"3,299",0
EEA,MLI,Rice,1006,"2,354",2
EEA,BLR,Lumber,470500,"2,304",20
EEA,MYS,Palm Fruit,120710,"1,791",0
EEA,AFG,Bricks,6901,"1,763",1
EEA,BLR,Lumber,4411,"1,636",1
EEA,ETH,Textiles (hand-woven),5208,"1,317",0
