good,value_usd,weight_metric_tons
Electronics,"207,402,680,803","10,617,547"
Garments,"84,606,300,105","3,723,064"
Footwear,"12,933,143,256","752,538"
Toys,"12,859,342,224","946,043"
Gold,"8,958,967,407","4,908"
Cocoa,"4,393,756,682","958,902"
Thread/Yarn,"1,494,236,523","521,396"
Christmas Decorations,"995,583,079","125,433"
Artificial Flowers,"909,687,585","100,200"
Aluminum,"860,063,344","233,507"
Rice,"638,969,118","883,329"
Diamonds,"586,582,370",2
Carpets,"546,447,268","80,201"
Tomato Products,"386,249,692","210,530"
Nickel,"379,014,587","136,682"
Fireworks,"352,258,212","105,468"
Rubber Gloves,"289,379,471","40,927"
Tobacco,"274,389,073","53,376"
Metallurgical Grade Silicon,"231,206,348","85,661"
Nails,"219,902,223","93,850"
