importer_iso3,total_value_usd,total_weight_metric_tons,top_good,top_value_usd
AUT,9097652832.999998,369568.583,Electronics,4872499585.999999
BEL,8238279793.0,1136777.765,Electronics,3784502806.0
BGR,3004037329.0,277615.65099999995,Electronics,2086832935.0
CYP,158477381.0,20252.692,Electronics,108512511.0
CZE,22559423634.0,557130.045,Electronics,19023086602.0
DEU,85887231067.0,3533911.599,Electronics,59119967296.0
DNK,5127224187.0,350824.883,Garments,2979564371.0
ESP,23448067809.0,2232910.662,Electronics,10726293733.0
EST,1160939174.0,77306.883,Electronics,798116761.0
FIN,4072474654.0,231993.972,Electronics,3065520590.0
FRA,36040058605.0,2061325.337,Electronics,19507925490.0
GRC,2875145106.0,578274.475,Electronics,2028046200.0
HRV,750064213.0,55320.602,Electronics,484955941.0
HUN,6075228453.0,260563.082,Electronics,5529946511.0
IRL,4599654027.0,176157.165,Electronics,2559154977.0
ITA,18941708172.0,1440720.438,Electronics,11305104915.0
LTU,796713417.0,111151.66200000001,Electronics,643288249.0
LUX,382896190.0,16559.389,Electronics,222163399.0
LVA,314208815.0,43012.911,Electronics,260075038.0
MLT,147189187.0,16726.786,Electronics,75672552.0
NLD,34017522849.0,2833037.812,Electronics,22152993269.0
POL,28801304280.999996,1791497.768,Electronics,16647770468.999998
PRT,2610767788.0,1075291.7000000002,Electronics,1713323300.0
ROU,3484094887.0,247573.196,Electronics,2642612067.0
SVK,4621601465.0,194627.98,Electronics,3108407505.0
SVN,2477865243.0,152244.411,Electronics,1835155819.0
SWE,6488276515.0,394385.482,Electronics,3955583875.0
